Timestamp,IncidentId,Stage,Detail,Actor
2025-08-01T04:12:00Z,INC-2025-08-01-0008,Detected,Threshold-based alerting on CPU utilization (>90% for >60 seconds),monitoring
2025-08-01T04:16:05Z,INC-2025-08-01-0008,Acknowledged,P3 incident acknowledged,noc.oncall
2025-08-01T04:19:00Z,INC-2025-08-01-0008,Resolved,Self-resolved once BGP table rebuild completed.,noc.oncall
2025-08-14T03:22:15Z,INC-2025-08-14-0042,Detected,Automated alert storm detection,monitoring
2025-08-14T03:22:53Z,INC-2025-08-14-0042,Acknowledged,P1 incident acknowledged,noc.major-incident
2025-08-14T03:24:53Z,INC-2025-08-14-0042,Escalated,Fibre cut SYD-MEL corridor - contractor damage,major-incident-manager
2025-08-14T09:22:15Z,INC-2025-08-14-0042,Resolved,Traffic rerouted to LINK-SYD-MEL-FIBRE-02 within 45 seconds.,field.team
2025-09-02T11:45:00Z,INC-2025-09-02-0018,Detected,Anomaly detection on optical power time-series,monitoring
2025-09-02T11:47:30Z,INC-2025-09-02-0018,Acknowledged,P1 incident acknowledged,noc.major-incident
2025-09-02T11:49:30Z,INC-2025-09-02-0018,Escalated,DWDM amplifier failure MEL-BNE link,major-incident-manager
2025-09-02T15:45:00Z,INC-2025-09-02-0018,Resolved,Spare EDFA module swapped by field team.,field.team
2025-09-10T15:42:00Z,INC-2025-09-10-0022,Detected,Automated thermal alert (>80°C threshold on chassis sensor),monitoring
2025-09-10T15:47:10Z,INC-2025-09-10-0022,Acknowledged,P4 incident acknowledged,noc.oncall
2025-09-10T16:30:00Z,INC-2025-09-10-0022,Resolved,Alert acknowledged as false alarm after cross-referencing redundant sensor.,noc.oncall
2025-09-28T01:00:00Z,INC-2025-09-28-0035,Detected,Change management system — planned event (CHG-2025-0412),monitoring
2025-09-28T01:05:00Z,INC-2025-09-28-0035,Acknowledged,P4 incident acknowledged,change.bot
2025-09-28T04:30:00Z,INC-2025-09-28-0035,Resolved,New wavelength channel provisioned and verified.,noc.oncall
2025-10-05T19:08:00Z,INC-2025-10-05-0041,Detected,BGP session state change alerting,monitoring
2025-10-05T19:11:30Z,INC-2025-10-05-0041,Acknowledged,P3 incident acknowledged,noc.oncall
2025-10-05T19:22:00Z,INC-2025-10-05-0041,Resolved,Remote peer contacted via IX mailing list.,noc.oncall
2025-10-19T22:15:00Z,INC-2025-10-19-0007,Detected,Route withdrawal anomaly detection,monitoring
2025-10-19T22:19:30Z,INC-2025-10-19-0007,Acknowledged,P2 incident acknowledged,noc.oncall
2025-10-19T22:21:30Z,INC-2025-10-19-0007,Escalated,BGP misconfiguration - route leak SYD-BNE,noc.lead
2025-10-19T22:29:00Z,INC-2025-10-19-0007,Resolved,"Route-map corrected, BGP sessions cleared.",noc.oncall
2025-11-05T06:12:00Z,INC-2025-11-05-0031,Detected,Automated alert storm detection — correlated with power monitoring,monitoring
2025-11-05T06:12:35Z,INC-2025-11-05-0031,Acknowledged,P1 incident acknowledged,noc.major-incident
2025-11-05T06:14:35Z,INC-2025-11-05-0031,Escalated,Power outage AGG-SYD-NORTH-01 - UPS failure,major-incident-manager
2025-11-05T06:20:00Z,INC-2025-11-05-0031,Resolved,Generator provided interim power.,noc.oncall
2025-11-22T14:05:00Z,INC-2025-11-22-0055,Detected,Automated alert storm detection,monitoring
2025-11-22T14:05:36Z,INC-2025-11-22-0055,Acknowledged,P1 incident acknowledged,noc.major-incident
2025-11-22T14:07:36Z,INC-2025-11-22-0055,Escalated,Fibre cut SYD-MEL corridor - storm damage,major-incident-manager
